,Unnamed: 0,source,word,freq_lcnl,freq_lcnl_log,freq_lcnl_log_flipscale,aoa_mean,aoa_sd,aoa_mean_scale,tasa_1,tasa_2,tasa_3,Has_freq,Has_aoa,Filter,score,Word,SUBTLWF,freq_lcnl_extended,freq_lcnl_extended_log,freq_lcnl_extended_log_flipscale,score_extended
1,7485,3k,the,9565.0,3.9807303765359454,0.0,3.983747,2.33,1.5934988,50950.0,48534.0,57939.0,True,True,True,3.983747,the,29449.176470588234,9565.0,3.9807303765359454,0.0,3.983747
3,2,lcnl,a,4838.0,3.684755622108624,0.29597475442732124,2.893384,1.21,1.1573536,21811.0,19884.0,23168.0,True,True,True,4.077283017709285,a,20415.274509803923,4838.0,3.684755622108624,0.29597475442732124,4.077283017709285
4,54,3k,and,6832.0,3.834611420722687,0.1461189558132583,4.569882,1.94,1.8279528000000003,17513.0,19697.0,24657.0,True,True,True,5.154357823253033,and,13387.843137254902,6832.0,3.834611420722687,0.1461189558132583,5.154357823253033
5,7657,lcnl,to,3956.0,3.597366050266028,0.38336432626991757,3.951776,1.39,1.5807103999999998,24061.0,22273.0,24829.0,True,True,True,5.485233305079671,to,22677.843137254902,3956.0,3.597366050266028,0.38336432626991757,5.485233305079671
6,3166,lcnl,he,2627.0,3.419625360887743,0.5611050156482023,3.8132349999999997,1.41,1.5252940000000001,14660.0,13284.0,13114.0,True,True,True,6.057655062592809,he,7637.196078431372,2627.0,3.419625360887743,0.5611050156482023,6.057655062592809
8,3468,lcnl,in,2111.0,3.3246939138617746,0.6560364626741708,3.6853510000000003,1.86,1.4741403999999998,10423.0,11031.0,14289.0,True,True,True,6.309496850696684,in,9773.411764705883,2111.0,3.3246939138617746,0.6560364626741708,6.309496850696684
11,4534,lcnl,my,1152.0,3.061829307294699,0.9189010692412465,2.715564,1.44,1.0862256000000001,4702.0,3178.0,2715.0,True,True,True,6.3911682769649865,my,6762.725490196079,1152.0,3.061829307294699,0.9189010692412465,6.3911682769649865
9,8565,3k,you,2280.0,3.3581252852766488,0.6226050912592966,4.3460849999999995,1.88,1.738434,15472.0,11867.0,12090.0,True,True,True,6.836505365037186,you,41857.117647058825,2280.0,3.3581252852766488,0.6226050912592966,6.836505365037186
14,6113,3k,she,1446.0,3.1604685311190375,0.8202618454169079,3.5681239999999996,1.39,1.4272496000000001,8129.0,7181.0,6654.0,True,True,True,6.849171381667631,she,3732.8823529411766,1446.0,3.1604685311190375,0.8202618454169079,6.849171381667631
21,7954,lcnl,up,886.0,2.9479236198317262,1.0328067567042192,2.918047,1.68,1.1672188000000001,4654.0,3827.0,3805.0,True,True,True,7.049274026816876,up,3670.0,886.0,2.9479236198317262,1.0328067567042192,7.049274026816876
13,4719,lcnl,of,2203.0,3.3432115901797474,0.637518786356198,4.548568,2.36,1.8194272,8779.0,11938.0,17271.0,True,True,True,7.098643145424792,of,11577.235294117647,2203.0,3.3432115901797474,0.637518786356198,7.098643145424792
15,3276,3k,his,1313.0,3.118595365223762,0.8621350113121835,3.6853510000000003,1.29,1.4741403999999998,5402.0,6097.0,6917.0,True,True,True,7.133891045248735,his,2124.7843137254904,1313.0,3.118595365223762,0.8621350113121835,7.133891045248735
17,4734,lcnl,on,1441.0,3.15896526038341,0.8217651161525352,4.005061,1.28,1.6020244,6973.0,6540.0,7316.0,True,True,True,7.292121464610141,on,6955.725490196079,1441.0,3.15896526038341,0.8217651161525352,7.292121464610141
16,3484,lcnl,it,1687.0,3.2273724422896364,0.753357934246309,4.399369999999999,1.95,1.7597479999999999,12605.0,11006.0,11906.0,True,True,True,7.4128017369852355,it,18896.313725490196,1687.0,3.2273724422896364,0.753357934246309,7.4128017369852355
26,4290,3k,me,757.0,2.8796692056320534,1.101061170903892,3.280385,1.5,1.312154,4027.0,2813.0,2606.0,True,True,True,7.684629683615568,me,9241.941176470587,757.0,2.8796692056320534,1.101061170903892,7.684629683615568
36,4636,3k,no,534.0,2.7283537820212285,1.252376594514717,2.715564,1.94,1.0862256000000001,2612.0,2188.0,2165.0,True,True,True,7.725070378058868,#N/A,#N/A,534.0,2.7283537820212285,1.252376594514717,7.725070378058868
30,4736,3k,one,682.0,2.8344207036815328,1.1463096728544127,3.2271,1.31,1.29084,3476.0,3331.0,3711.0,True,True,True,7.812338691417651,one,3072.235294117647,682.0,2.8344207036815328,1.1463096728544127,7.812338691417651
31,4758,3k,out,694.0,2.8419848045901137,1.1387455719458317,3.280385,1.56,1.312154,3825.0,3455.0,3520.0,True,True,True,7.835367287783327,out,3865.3137254901962,694.0,2.8419848045901137,1.1387455719458317,7.835367287783327
23,2451,3k,for,1177.0,3.0711452904510828,0.9095850860848627,4.388713,1.97,1.7554851999999999,5851.0,5615.0,6423.0,True,True,True,8.02705334433945,for,6895.098039215686,1177.0,3.0711452904510828,0.9095850860848627,8.02705334433945
24,45,3k,all,1080.0,3.03382569395331,0.9469046825826353,4.239515,1.4,1.6958060000000001,3931.0,3788.0,3965.0,True,True,True,8.02713373033054,all,5161.862745098039,1080.0,3.03382569395331,0.9469046825826353,8.02713373033054
34,4668,3k,not,830.0,2.919601023784111,1.0611293527518346,3.887834,2.22,1.5551336,5662.0,3814.0,4116.0,True,True,True,8.132351411007338,not,5424.9607843137255,830.0,2.919601023784111,1.0611293527518346,8.132351411007338
28,8382,3k,with,1127.0,3.0523090996473234,0.9284212768886219,4.441998,1.59,1.7767992,4181.0,4111.0,5084.0,True,True,True,8.155683107554488,with,5048.333333333333,1127.0,3.0523090996473234,0.928421276888622,8.155683107554488
38,1770,3k,do,693.0,2.841359470454855,1.1393709060810906,3.6,1.6,1.44,4560.0,3284.0,3113.0,True,True,True,8.157483624324362,do,6135.588235294118,693.0,2.841359470454855,1.1393709060810906,8.157483624324362
48,2808,3k,go,547.0,2.738780558484369,1.2419498180515762,3.37,1.46,1.348,3313.0,2054.0,1710.0,True,True,True,8.337799272206304,go,3793.0392156862745,547.0,2.738780558484369,1.2419498180515762,8.337799272206304
