,Unnamed: 0,source,word,freq_lcnl,freq_lcnl_log,freq_lcnl_log_flipscale,aoa_mean,aoa_sd,aoa_mean_scale,tasa_1,tasa_2,tasa_3,Has_freq,Has_aoa,Filter,score,SUBTLWF,freq_lcnl_extended,freq_lcnl_extended_log,freq_lcnl_extended_log_flipscale,score_extended
101,3323,3k,home,268,2.42975228,1.550978097,3.86652,1.88,1.546608,1677,1094,939,TRUE,TRUE,TRUE,10.07043239,774.3333333,268,2.42975228,1.550978097,10.07043239
94,2545,3k,from,370,2.56937391,1.411356467,4.441998,2.24,1.7767992,2044,2639,3623,TRUE,TRUE,TRUE,10.08742387,2039.058824,370,2.56937391,1.411356467,10.08742387
98,4745,lcnl,or,311,2.494154594,1.486575783,4.143602,1.25,1.6574408,931,1553,2536,TRUE,TRUE,TRUE,10.08990513,1705.294118,311,2.494154594,1.486575783,10.08990513
144,8541,3k,yes,103,2.017033339,1.963697037,2.310598,1.68,0.9242392,1002,601,456,TRUE,TRUE,TRUE,10.16538615,#N/A,103,2.017033339,1.963697037,10.16538615
89,7491,3k,them,458,2.661812686,1.318917691,4.900249,2.16,1.9600996,1948,2256,2666,TRUE,TRUE,TRUE,10.17591976,1778.823529,458,2.661812686,1.318917691,10.17591976
124,1812,3k,door,155,2.193124598,1.787605778,3.05,1.15,1.22,818,782,668,TRUE,TRUE,TRUE,10.20042311,292.0588235,155,2.193124598,1.787605778,10.20042311
114,7780,3k,tree,206,2.315970345,1.664760031,3.57,1.61,1.428,807,501,358,TRUE,TRUE,TRUE,10.22904012,65,206,2.315970345,1.664760031,10.22904012
120,252,3k,bear,197,2.29666519,1.684065186,3.58,1.68,1.432,902,320,165,TRUE,TRUE,TRUE,10.31626075,57.41176471,197,2.29666519,1.684065186,10.31626075
79,84,lcnl,as,844,2.926856709,1.053873668,6.10449,2.3,2.441796,2243,3346,4616,TRUE,TRUE,TRUE,10.31998467,2217.019608,844,2.926856709,1.053873668,10.31998467
115,4720,3k,off,225,2.354108439,1.626621937,3.834549,2.09,1.5338196,862,1001,1023,TRUE,TRUE,TRUE,10.34103675,1179.509804,225,2.354108439,1.626621937,10.34103675
122,5345,3k,put,206,2.315970345,1.664760031,3.72,2.3,1.488,1936,1267,973,TRUE,TRUE,TRUE,10.37904012,828.4509804,206,2.315970345,1.664760031,10.37904012
106,4722,unl,oh,351,2.546542663,1.434187713,4.71908,1.85,1.887632,867,597,477,TRUE,TRUE,TRUE,10.45583085,#N/A,351,2.546542663,1.434187713,10.45583085
153,6409,3k,sleep,113,2.056904851,1.923825525,2.79,1.03,1.116,477,288,213,TRUE,TRUE,TRUE,10.4853021,227.9411765,113,2.056904851,1.923825525,10.4853021
140,5518,3k,red,181,2.260071388,1.720658989,3.68,1.63,1.472,892,372,316,TRUE,TRUE,TRUE,10.56263595,148.0588235,181,2.260071388,1.720658989,10.56263595
157,7079,3k,stop,114,2.06069784,1.920032536,2.89,1.6,1.156,800,408,348,TRUE,TRUE,TRUE,10.57013014,707.2745098,114,2.06069784,1.920032536,10.57013014
125,4077,3k,look,223,2.350248018,1.630482358,4.05,1.68,1.62,2541,1488,1416,TRUE,TRUE,TRUE,10.57192943,1947.27451,223,2.350248018,1.630482358,10.57192943
99,3457,lcnl,if,468,2.671172843,1.309557534,5.3585,2.34,2.1434,1827,2192,2595,TRUE,TRUE,TRUE,10.59673014,3541.372549,468,2.671172843,1.309557534,10.59673014
103,7633,3k,time,417,2.621176282,1.359554095,5.16,1.86,2.064,1847,1882,2005,TRUE,TRUE,TRUE,10.59821638,1958.627451,417,2.621176282,1.359554095,10.59821638
123,5598,3k,right,257,2.411619706,1.569110671,4.346085,1.59,1.738434,1499,1410,1229,TRUE,TRUE,TRUE,10.62252768,4008.392157,257,2.411619706,1.569110671,10.62252768
129,7936,3k,two,236,2.374748346,1.605982031,4.239515,2.06,1.695806,1053,1180,1369,TRUE,TRUE,TRUE,10.66344312,1066.352941,236,2.374748346,1.605982031,10.66344312
149,3168,3k,head,145,2.164352856,1.816377521,3.42,1.02,1.368,643,698,703,TRUE,TRUE,TRUE,10.68551008,371.5098039,145,2.164352856,1.816377521,10.68551008
134,4072,3k,long,229,2.361727836,1.619002541,4.239515,1.83,1.695806,966,1098,1146,TRUE,TRUE,TRUE,10.71552516,675.1568627,229,2.361727836,1.619002541,10.71552516
160,6502,3k,small,126,2.103803721,1.876926656,3.22,1.52,1.288,452,546,623,TRUE,TRUE,TRUE,10.72770662,124.9607843,126,2.103803721,1.876926656,10.72770662
109,4677,3k,now,405,2.608526034,1.372204343,5.25193,1.77,2.100772,2249,1833,1836,TRUE,TRUE,TRUE,10.74074737,3202.607843,405,2.608526034,1.372204343,10.74074737
119,6649,3k,some,316,2.501059262,1.479671114,4.846964,2.44,1.9387856,2171,1973,2260,TRUE,TRUE,TRUE,10.76564846,1727.235294,316,2.501059262,1.479671114,10.76564846
130,3773,3k,know,257,2.411619706,1.569110671,4.5,2.12,1.8,2010,1924,1730,TRUE,TRUE,TRUE,10.77644268,5721.176471,257,2.411619706,1.569110671,10.77644268
110,125,3k,back,406,2.609594409,1.371135967,5.305215,2.35,2.122086,2096,1959,1784,TRUE,TRUE,TRUE,10.78975887,2009.156863,406,2.609594409,1.371135967,10.78975887
158,463,3k,blue,144,2.161368002,1.819362374,3.53,1.68,1.412,369,202,216,TRUE,TRUE,TRUE,10.8074495,102.3921569,144,2.161368002,1.819362374,10.8074495
112,8430,3k,would,396,2.598790507,1.38193987,5.28,1.56,2.112,1957,2329,2710,TRUE,TRUE,TRUE,10.80775948,1767.882353,396,2.598790507,1.38193987,10.80775948
203,4420,3k,mom,67,1.832508913,2.148221464,2.22,1.22,0.888,725,375,184,TRUE,TRUE,TRUE,10.81288586,#N/A,67,1.832508913,2.148221464,10.81288586
156,3215,3k,help,153,2.187520721,1.793209656,3.65,1.79,1.46,1631,917,754,TRUE,TRUE,TRUE,10.82283862,921.1176471,153,2.187520721,1.793209656,10.82283862
155,7545,3k,three,155,2.193124598,1.787605778,3.685351,1.5,1.4741404,578,532,576,TRUE,TRUE,TRUE,10.83577411,542.2352941,155,2.193124598,1.787605778,10.83577411
165,5056,3k,please,135,2.133538908,1.847191468,3.482868,1.22,1.3931472,286,207,159,TRUE,TRUE,TRUE,10.87163387,1100.960784,135,2.133538908,1.847191468,10.87163387
