,source,word,freq_lcnl,aoa_mean,aoa_sd,tasa_1,tasa_2,tasa_3,max tasa,,,,,,,,,
2808,3k,go,547,3.37,1.46,3313,2054,1710,3313,TRUE,FALSE,FALSE,1,,,,,
3368,3k,hot,75,3.37,1.77,449,281,252,449,TRUE,FALSE,FALSE,1,,,,,
4352,3k,milk,57,3.37,1.42,162,153,127,162,TRUE,FALSE,FALSE,1,,,,,
1134,3k,clap,14,3.4,1.73,26,5,8,26,TRUE,FALSE,FALSE,1,,,,,
7229,3k,sun,95,3.4,1.64,573,430,418,573,TRUE,FALSE,FALSE,1,,,,,
250,3k,bean,6,3.42,1.12,21,24,17,24,FALSE,TRUE,FALSE,2,,,,,
3168,3k,head,145,3.42,1.02,643,698,703,703,FALSE,FALSE,TRUE,3,,,,,
5830,3k,say,212,3.42,1.07,955,862,805,955,TRUE,FALSE,FALSE,1,,,,,
3263,3k,him,555,3.429583,1.21,2780,2891,3176,3176,FALSE,FALSE,TRUE,3,,,,,
950,3k,chair,24,3.43,1.33,108,130,133,133,FALSE,FALSE,TRUE,3,,,,,
2446,3k,foot,38,3.44,1.38,152,134,140,152,TRUE,FALSE,FALSE,1,,,,,
7858,3k,try,78,3.44,2.15,370,362,347,370,TRUE,FALSE,FALSE,1,,,,,
2084,lcnl,eyes,111,3.443482,1.36,487,652,712,712,FALSE,FALSE,TRUE,3,,,,,
8110,3k,walk,79,3.45,2.04,485,351,281,485,TRUE,FALSE,FALSE,1,,,,,
1901,3k,drink,29,3.47,1.31,181,126,96,181,TRUE,FALSE,FALSE,1,,,,,
3259,3k,hill,66,3.47,1.47,252,182,134,252,TRUE,FALSE,FALSE,1,,,,,
6296,3k,sing,55,3.47,1.31,126,71,58,126,TRUE,FALSE,FALSE,1,,,,,
6315,3k,sit,73,3.47,2.25,376,230,166,376,TRUE,FALSE,FALSE,1,,,,,
5056,3k,please,135,3.482868,1.22,286,207,159,286,TRUE,FALSE,FALSE,1,,,,,
1647,lcnl,day,376,3.5,1.58,1977,1582,1439,1977,TRUE,FALSE,FALSE,1,,,,,
1952,3k,duck,72,3.5,1.64,390,50,20,390,TRUE,FALSE,FALSE,1,,,,,
6515,3k,smile,26,3.51,1.72,104,118,100,118,FALSE,TRUE,FALSE,2,,,,,
350,3k,bird,112,3.52,1.66,540,167,118,540,TRUE,FALSE,FALSE,1,,,,,
463,3k,blue,144,3.53,1.68,369,202,216,369,TRUE,FALSE,FALSE,1,,,,,
6178,3k,shirt,15,3.53,1.12,61,64,51,64,FALSE,TRUE,FALSE,2,,,,,
7478,lcnl,thanks,17,3.53,1.35,85,70,47,85,TRUE,FALSE,FALSE,1,,,,,
8406,lcnl,woof,33,3.53,1.87,30,6,0,30,TRUE,FALSE,FALSE,1,,,,,
2829,3k,good,366,3.55,1.61,1989,1342,1322,1989,TRUE,FALSE,FALSE,1,,,,,
4193,3k,mad,16,3.55,1.5,154,93,59,154,TRUE,FALSE,FALSE,1,,,,,
368,3k,black,98,3.56,1.92,261,293,309,309,FALSE,FALSE,TRUE,3,,,,,
4583,3k,need,64,3.56,1.34,733,546,562,733,TRUE,FALSE,FALSE,1,,,,,
6727,3k,speak,22,3.56,1.38,50,107,132,132,FALSE,FALSE,TRUE,3,,,,,
6113,3k,she,1446,3.568124,1.39,8129,7181,6654,8129,TRUE,FALSE,FALSE,1,,,,,
1552,3k,cup,36,3.57,1.99,41,55,43,55,FALSE,TRUE,FALSE,2,,,,,
2524,3k,friend,105,3.57,1.43,427,343,276,427,TRUE,FALSE,FALSE,1,,,,,
7780,3k,tree,206,3.57,1.61,807,501,358,807,TRUE,FALSE,FALSE,1,,,,,
7446,3k,ten,50,3.578781,1.49,200,184,168,200,TRUE,FALSE,FALSE,1,,,,,
252,3k,bear,197,3.58,1.68,902,320,165,902,TRUE,FALSE,FALSE,1,,,,,
359,3k,bite,24,3.58,1.3,54,46,43,54,TRUE,FALSE,FALSE,1,,,,,
639,3k,bread,58,3.58,1.61,142,102,83,142,TRUE,FALSE,FALSE,1,,,,,
1268,3k,coat,25,3.58,1.22,120,82,83,120,TRUE,FALSE,FALSE,1,,,,,
3684,3k,key,14,3.58,1.54,115,65,46,115,TRUE,FALSE,FALSE,1,,,,,
4483,3k,mouth,65,3.58,1.43,127,178,195,195,FALSE,FALSE,TRUE,3,,,,,
1770,3k,do,693,3.6,1.6,4560,3284,3113,4560,TRUE,FALSE,FALSE,1,,,,,
5445,3k,rain,83,3.6,1.27,361,227,185,361,TRUE,FALSE,FALSE,1,,,,,
3721,3k,kiss,45,3.61,2.25,23,13,10,23,TRUE,FALSE,FALSE,1,,,,,
4147,3k,lunch,50,3.61,1.69,407,167,91,407,TRUE,FALSE,FALSE,1,,,,,
4618,3k,night,274,3.61,1.88,716,718,653,718,FALSE,TRUE,FALSE,2,,,,,
7700,3k,tooth,18,3.61,1.09,63,59,23,63,TRUE,FALSE,FALSE,1,,,,,
1231,3k,cloud,12,3.63,1.57,94,47,30,94,TRUE,FALSE,FALSE,1,,,,,
2014,3k,ear,32,3.63,1.92,28,74,70,74,FALSE,TRUE,FALSE,2,,,,,
2460,3k,fork,5,3.63,1.86,13,13,10,13,TRUE,TRUE,FALSE,1,,,,,
2559,3k,fruit,16,3.63,1.71,32,48,50,50,FALSE,FALSE,TRUE,3,,,,,
3215,3k,help,153,3.65,1.79,1631,917,754,1631,TRUE,FALSE,FALSE,1,,,,,
582,3k,boy,129,3.67,1.88,952,675,614,952,TRUE,FALSE,FALSE,1,,,,,
2580,3k,fun,79,3.67,0.97,629,241,159,629,TRUE,FALSE,FALSE,1,,,,,
4960,3k,pie,41,3.67,1.64,31,22,20,31,TRUE,FALSE,FALSE,1,,,,,
6780,3k,splash,24,3.67,2.35,36,21,10,36,TRUE,FALSE,FALSE,1,,,,,
7024,lcnl,steps,9,3.67,1.41,139,162,131,162,FALSE,TRUE,FALSE,2,,,,,
529,3k,book,82,3.68,1.8,641,317,309,641,TRUE,FALSE,FALSE,1,,,,,
914,3k,cat,245,3.68,1.52,904,215,162,904,TRUE,FALSE,FALSE,1,,,,,
1793,3k,doll,2,3.68,1.34,61,30,27,61,TRUE,FALSE,FALSE,1,,,,,
4549,3k,name,112,3.68,1.53,635,533,469,635,TRUE,FALSE,FALSE,1,,,,,
5518,3k,red,181,3.68,1.63,892,372,316,892,TRUE,FALSE,FALSE,1,,,,,
7365,3k,talk,44,3.68,1.73,460,372,300,460,TRUE,FALSE,FALSE,1,,,,,
3276,3k,his,1313,3.685351,1.29,5402,6097,6917,6917,FALSE,FALSE,TRUE,3,,,,,
3468,lcnl,in,2111,3.685351,1.86,10423,11031,14289,14289,FALSE,FALSE,TRUE,3,,,,,
3983,3k,like,572,3.685351,1.89,3487,2649,2660,3487,TRUE,FALSE,FALSE,1,,,,,
7545,3k,three,155,3.685351,1.5,578,532,576,578,TRUE,FALSE,FALSE,1,,,,,
7353,3k,tail,50,3.7,1.13,177,184,127,184,FALSE,TRUE,FALSE,2,,,,,
1238,3k,clown,12,3.72,1.93,41,20,10,41,TRUE,FALSE,FALSE,1,,,,,
3154,3k,have,638,3.72,1.96,4736,3798,4251,4736,TRUE,FALSE,FALSE,1,,,,,
4731,3k,old,326,3.72,1.36,1100,1121,1050,1121,FALSE,TRUE,FALSE,2,,,,,
5345,3k,put,206,3.72,2.3,1936,1267,973,1936,TRUE,FALSE,FALSE,1,,,,,
5580,3k,rice,13,3.72,1.41,19,37,31,37,FALSE,TRUE,FALSE,2,,,,,
6676,3k,sound,59,3.72,1.53,208,338,343,343,FALSE,FALSE,TRUE,3,,,,,
820,3k,butt,5,3.73,1.86,0,3,3,3,FALSE,TRUE,TRUE,2,,,,,
78,lcnl,arms,28,3.738636,2.14,110,150,166,166,FALSE,FALSE,TRUE,3,,,,,
2135,3k,fast,111,3.738636,1.33,610,347,221,610,TRUE,FALSE,FALSE,1,,,,,
3231,3k,here,282,3.738636,1.94,2267,1324,1140,2267,TRUE,FALSE,FALSE,1,,,,,
1366,3k,couch,2,3.74,1.85,1,12,11,12,FALSE,TRUE,FALSE,2,,,,,
1626,3k,dark,83,3.74,1.37,324,340,310,340,FALSE,TRUE,FALSE,2,,,,,
