,Unnamed: 0,word,source,freq_lcnl,freq_lcnl_log,freq_lcnl_log_flipscale,aoa_mean,aoa_sd,aoa_mean_scale,tasa_1,tasa_2,tasa_3,Word,SUBTLWF,freq_lcnl_extended,freq_lcnl_extended_log,freq_lcnl_extended_log_flipscale,score,score_extended
474,533,the,3k,9565.0,3.9807303765359454,0.0,3.983747,2.33,1.5934988,50950.0,48534.0,57939.0,the,29449.176470588234,9565.0,3.9807303765359454,0.0,3.983747,3.983747
971,1072,and,3k,6832.0,3.834611420722687,0.1461189558132583,4.5698820000000016,1.94,1.8279528000000005,17513.0,19697.0,24657.0,and,13387.843137254902,6832.0,3.834611420722687,0.1461189558132583,5.081298345346406,5.081298345346406
2288,2506,she,3k,1446.0,3.1604685311190375,0.8202618454169079,3.5681239999999996,1.39,1.4272496,8129.0,7181.0,6654.0,she,3732.8823529411766,1446.0,3.1604685311190375,0.8202618454169079,6.439040458959177,6.439040458959177
1328,1455,you,3k,2280.0,3.3581252852766488,0.6226050912592966,4.3460849999999995,1.88,1.7384340000000005,15472.0,11867.0,12090.0,you,41857.117647058825,2280.0,3.3581252852766488,0.6226050912592966,6.5252028194075375,6.5252028194075375
1677,1841,his,3k,1313.0,3.118595365223762,0.8621350113121835,3.685351,1.29,1.4741403999999998,5402.0,6097.0,6917.0,his,2124.7843137254904,1313.0,3.118595365223762,0.8621350113121835,6.702823539592642,6.702823539592642
1174,1290,no,3k,534.0,2.7283537820212285,1.252376594514717,2.715564,1.94,1.0862256,2612.0,2188.0,2165.0,#N/A,#N/A,534.0,2.7283537820212285,1.252376594514717,7.098882080801509,7.098882080801509
109,121,me,3k,757.0,2.8796692056320534,1.101061170903892,3.280385,1.5,1.312154,4027.0,2813.0,2606.0,me,9241.941176470587,757.0,2.8796692056320534,1.101061170903892,7.134099098163622,7.134099098163622
191,212,one,3k,682.0,2.8344207036815328,1.1463096728544127,3.2271,1.31,1.29084,3476.0,3331.0,3711.0,one,3072.235294117647,682.0,2.8344207036815328,1.1463096728544127,7.239183854990444,7.239183854990444
2208,2418,out,3k,694.0,2.8419848045901137,1.1387455719458317,3.280385,1.56,1.312154,3825.0,3455.0,3520.0,out,3865.3137254901962,694.0,2.8419848045901137,1.1387455719458317,7.265994501810411,7.265994501810411
1351,1480,all,3k,1080.0,3.03382569395331,0.9469046825826353,4.239515000000001,1.4,1.6958060000000004,3931.0,3788.0,3965.0,all,5161.862745098039,1080.0,3.03382569395331,0.9469046825826353,7.553681389039224,7.553681389039224
528,593,for,3k,1177.0,3.0711452904510828,0.9095850860848627,4.388713,1.97,1.7554851999999999,5851.0,5615.0,6423.0,for,6895.098039215686,1177.0,3.0711452904510828,0.9095850860848627,7.57226080129702,7.57226080129702
338,378,do,3k,693.0,2.841359470454855,1.1393709060810906,3.6,1.6,1.44,4560.0,3284.0,3113.0,do,6135.588235294118,693.0,2.841359470454855,1.1393709060810906,7.587798171283817,7.587798171283817
877,972,not,3k,830.0,2.919601023784111,1.0611293527518346,3.887834,2.22,1.5551336,5662.0,3814.0,4116.0,not,5424.9607843137255,830.0,2.919601023784111,1.0611293527518346,7.601786734631421,7.601786734631421
1122,1237,with,3k,1127.0,3.0523090996473234,0.9284212768886219,4.441998,1.59,1.7767992,4181.0,4111.0,5084.0,with,5048.333333333333,1127.0,3.0523090996473234,0.928421276888622,7.691472469110177,7.691472469110177
1992,2182,go,3k,547.0,2.738780558484369,1.2419498180515762,3.37,1.46,1.348,3313.0,2054.0,1710.0,go,3793.0392156862745,547.0,2.738780558484369,1.2419498180515762,7.716824363180517,7.716824363180517
1685,1850,him,3k,555.0,2.7450747915820575,1.235655584953888,3.429583,1.21,1.3718332,2780.0,2891.0,3176.0,him,3484.5098039215686,555.0,2.7450747915820575,1.235655584953888,7.754377547338608,7.754377547338608
1850,2033,big,3k,383.0,2.584331224367531,1.3963991521684145,2.89,1.08,1.156,2826.0,1342.0,969.0,big,682.8235294117648,383.0,2.584331224367531,1.3963991521684145,7.777397032589452,7.777397032589452
2285,2503,have,3k,638.0,2.8055008581584002,1.1752295183775452,3.72,1.96,1.4880000000000002,4736.0,3798.0,4251.0,have,6161.411764705882,638.0,2.8055008581584002,1.1752295183775452,7.833303314321409,7.833303314321409
2591,2834,what,3k,679.0,2.832508912706236,1.1482214638297092,3.855863,1.37,1.5423452,4928.0,3885.0,3879.0,#N/A,#N/A,679.0,2.832508912706236,1.1482214638297092,7.874638123403981,7.874638123403981
2572,2814,but,3k,1097.0,3.040602340114073,0.9401280364218721,4.601853000000001,2.45,1.8407412000000003,5172.0,4711.0,5113.0,but,4417.470588235294,1097.0,3.040602340114073,0.9401280364218723,7.8923011274765535,7.8923011274765535
1702,1869,see,3k,382.0,2.583198773968623,1.3975316025673226,3.06,1.43,1.224,3548.0,2167.0,2099.0,see,2556.725490196078,382.0,2.583198773968623,1.3975316025673226,7.951360608985629,7.951360608985629
2499,2733,like,3k,572.0,2.75815462196739,1.2225757545685556,3.685351,1.89,1.4741403999999998,3487.0,2649.0,2660.0,like,3998.9607843137255,572.0,2.75815462196739,1.2225757545685556,7.964366140989944,7.964366140989944
190,211,they,3k,1078.0,3.0330214446829107,0.9477089318530347,4.878935,1.87,1.951574,5819.0,5999.0,6632.0,they,4102.941176470588,1078.0,3.0330214446829107,0.9477089318530347,8.195916261485621,8.195916261485621
